Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0172-MAA AMBA BALIKA DEGREE COLLEGE, GWALIKHEREA, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0178-GAYTARI DEVI COLLEGE OF EDUCATION, MALAKPUR ROAD, BARAUT (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0205-SHRI VINAYAK COLLEGE OF EDUCATION, DELHI SAHARANPUR ROAD, MAVI KALAN BAGHAPAT,",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0207-SHRI SAI MAHAVIDYALAYA, FATEHPUR PUTTI, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0264-MURTI DEVI MEMORIAL COLLEGE, BAGHPAT-MEERUT ROAD, PILANA, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0280-GODWILL DEGREE COLLEGE, KIRTHAL BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0508-S.P.S. COLLEGE OF HIGHER EDUCATION, (NEAR-RAMALA SUGUR MILL)] BARAUT, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0702-LAKHMI CHAND PATWARI COLL OF EDUCATION, DELHI BAGHPAT ROAD, KHEKRA (BAGHPAT)",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","1005-TEJAS INSTITUTE OF EDUCATION AND TRAINING, VILL. KHAILA, POST, RATAUL, KHEKRA, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","1097-JAIN GIRLS DEGREE COLLEGE, KHEKHRA, BAGHPAT",Baghpat,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0058-R.G. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0051-LAKSHMI DEVI KANYA DEGREE COLLEGE, MAWANA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0053-I.N. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0060-KANOHAR LAL MAHILA MAHAVIDYALA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0091-SHAHID MANGAL PANDEY GOVERNMENT MAHILA MAHAVIDYALAYA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0097-SANT JOSEPHS GIRLS DEGREE COLLEGE, SARDHANA (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0242-SAVITA DEVI MAHAVIDYALAYA, MOHIDDINPUR, DELHI ROAD, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0253-VIDYOTAMA KANYA MAHAVIDYALAYA, CHINDORI ROAD, LAWAR, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0052-D.N. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0266-SHRI RAM NIWAS KANYA MAHAVIDYALA, KARNAVAL. MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0300-MEERUT COLLEGE FOR GIRLS EDUCATION, CHITWANA, SHERPUR, KILA PARICHATI GARH, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0046-DR. AMBEDKAR DEGREE COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0047-CH. SHIV NATH SINGH SADILYA (P.G.) COLLEGE, MACHHARA (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0049-A.S. (P.G.) COLLEGE, MAWANA (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0058-R.G. (P.G.) COLLEGE, MEERUT","0050-KRISHAK (P.G.) COLLEGE, MAWANA (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0055-MEERUT COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0056-N.A.S. COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0070-GANDHI SMARAK DEVNAGARI MAHAVIDYALAYA, PARIKSHIT, GARH, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0085-FAIZ-E-AM DEGREE COLLEGE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0095-SHRI SHALIGRAM SHARMA SMARAK (P.G.) COLLEGE, RASANA (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0098-SANJAY GANDHI (P.G.) COLLEGE, SARURPUR KHURD (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0108-SWAMI KALYAN DEV COLLEGE, HASTINAPUR (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0118-NAVJEEVAN KISHAN DEGREE COLLEGE, MAWANA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0160-CH.BASIR KHAN MAHAVIDYALAYA, HARRA, TEHSIL-SARDHANA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0187-SWATANTRATA SENANI SHRI RAMPHOOL SINGH SMARAK KANYA MAHAVIDYALAYA, PHAALAWADA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0203-R.K. COLLEGE,GARH ROAD, KITHORE, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0209-GYAN BHARTI INSTITUTE OF MANAGEMENT STUDIES, JEWARI, KHIRWA ROAD, KANKAR KHERA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0232-DHARMENDRA SINGH MEMORIAL COLLEGE, ATOLA, HAPUR-KITHORE ROAD, MEERUT,",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0255-SHATAKSHI COLLEE OF EDUCATION, CHITVANA, SHERPUR, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0641-ELITE COLLEGE OF PROFESSIONAL & STUDIES, NH-58, DADRI, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0664-SUSHIL INSTITUTE OF MANAGEMENT & TECHNOLOGY, MAWANA, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0686-RUDRA INSTITUTE OF TECHNOLOGY, NH-119, MAWANA KHURD, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0722-BHAGWATI COLLEGE OF EDUCATION, SIVAYA, ROORKEE ROAD, MEERUT",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0751-J.S.M. ACADEMYVILLAGE SALARPUR, MAWANA ROAD, MEERUT,9897172299",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0852-BHAGWATI COLLEGE OF MANAGEMENT & TECH., SIWAYA (MEERUT)",Meerut,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARGE, DANKAUR, GAUTAMBUDH NAGAR",Noida,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0125-SMT. SUKHBIRI DEVI GAYATRI DEVI MAHAVIDYALA, NIMKA, JEWAR (G.B. NAGAR)",Noida,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
